symbol,fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
AZO,28/8/21,USD,3518543000,522648000,None,1059379000,149556000,407683000,621767000,11039000,138517000,2170314000,-601778000,-3500417000,None,3378321000,0,None,None,None,None,None,None,None,0,None,-579480000,4172000,2170314000,14516199000,6415303000,1171335000,1171335000,4639813000,378392000,8100896000,4856891000,3950287000,302645000,None,302645000,113918000,None,None,225763000,181605000,19588816000,7369754000,6013924000,None,89932000,326500000,9130103000,186122000,10569820000,None,5269820000,5300000000,1029330000,704194000,-1797536000,2535620000,-419829000,230000,21121000,7717785000,14629585000,6911800000,6911800000,2944527000,4773258000,None,4880258000,5417000,-202326000,-195337000,202326000,None,None,None,107000000,2749190000,578876000,202326000,2170314000,2216580000,2951516000,3058516000,Common Stock,AutoZone Inc,"AutoZone, Inc. is an American retailer of aftermarket automotive parts and accessories, the largest in the United States.",866787,NYSE,USD,USA,TRADE & SERVICES,RETAIL-AUTO & HOME SUPPLY STORES,"123 SOUTH FRONT ST, MEMPHIS, TN, US",August,30/11/21,38475522000,3544509000,18.18,1.527,-71.3,0,0,102.57,698.59,0.151,0.206,0.135,0,15144228000,7717785000,102.57,0.38,0.163,2176.61,18.18,19.19,2.541,-,3.091,13.35,0.893,2110,1145.15,1986.91,1724.89,20634400,None,None
AVB,31/12/20,USD,1203170000,203773000,0,-25395000,-2301000,768739000,1569241000,None,None,1004356000,-624053000,-348861000,989081000,0,0,None,888392000,888698000,None,31874000,None,None,31874000,None,230256000,None,827630000,19199144000,272403000,216976000,216976000,267219000,None,6933743000,6308646000,None,None,None,None,18436393000,202612000,None,49704000,18289208000,8444293000,642549000,None,None,None,2003086000,7804421000,181479000,7629814000,None,None,7629814000,548940000,181790000,10751583000,None,126022000,1395000,139526671,1685343000,2301261000,615918000,549913000,1547190000,66005000,None,132328000,None,-214151000,6422000,214151000,-5514000,-12399000,707331000,707331000,824383000,-3247000,223484000,827706000,818883000,1547190000,1745865000,Common Stock,AvalonBay Communities Inc,"AvalonBay Communities, Inc. is a publicly traded real estate investment trust that invests in apartments.",915912,NYSE,USD,USA,REAL ESTATE & CONSTRUCTION,REAL ESTATE INVESTMENT TRUSTS,"4040 WILSON BOULEVARD, STE 1000, ARLINGTON, VA, US",December,31/12/21,34103790000,1381055000,33.94,3.699,78.36,6.36,0.0261,7.19,16.59,0.433,0.273,0.0202,0.0926,2317527000,1460354000,7.19,-0.016,0.095,266.18,33.94,55.25,14.72,3.005,17.66,20.38,0.944,257.52,169.76,245.21,229.67,139741000,15/4/22,30/3/22
AVY,31/12/21,USD,1046800000,81300000,None,267200000,291800000,244100000,255000000,113200000,182700000,740100000,-1737900000,604300000,259200000,180900000,0,None,220600000,220600000,None,None,791700000,None,0,None,-86800000,None,740100000,7971600000,2734600000,162700000,162700000,907200000,1424500000,5461800000,1477700000,2148500000,2792900000,911400000,1881500000,None,None,None,240200000,836200000,6047200000,2547900000,1298800000,26600000,318800000,313300000,2931500000,11700000,2774200000,318800000,None,3087500000,930300000,713400000,1924400000,2659800000,3880700000,124100000,82605953,2312800000,8343800000,7390200000,6095500000,845800000,1248500000,136600000,1461300000,None,-70200000,None,70200000,8414000000,4100000,167300000,44600000,988700000,248600000,70200000,740100000,806800000,1058900000,1103500000,Common Stock,Avery Dennison Corporation,"Avery Dennison Corporation is a multinational manufacturer and distributor of pressure-sensitive adhesive materials (such as self-adhesive labels), apparel branding labels and tags, RFID inlays, and specialty medical products. The company is headquartered in Glendale, California.",8818,NYSE,USD,USA,MANUFACTURING,CONVERTED PAPER & PAPERBOARD PRODS (NO CONTANERS/BOXES),"207 GOODE AVENUE, GLENDALE, CA, US",December,31/12/21,14869421000,1261800000,20.42,2.298,23.3,2.66,0.0156,8.83,101.43,0.088,0.125,0.0932,0.434,8408300000,2312800000,8.83,-0.039,0.097,231.36,20.42,18.8,1.768,7.78,2.131,13.71,1.011,228.52,166.92,200.52,211.22,82461000,16/3/22,1/3/22
BKR,31/12/21,USD,2374000000,305000000,None,174000000,-306000000,1105000000,856000000,126000000,-170000000,-330000000,-463000000,-2143000000,-832000000,434000000,434000000,None,592000000,592000000,None,None,1250000000,None,-434000000,None,-232000000,None,-219000000,35308000000,15065000000,3853000000,1033000000,3979000000,5651000000,21037000000,4877000000,5003000000,10090000000,4131000000,5959000000,29000000,None,1033000000,1582000000,2943000000,20478000000,9128000000,3745000000,3232000000,40000000,40000000,10058000000,None,6790000000,40000000,None,6727000000,2111000000,1510000000,14830000000,None,-10160000000,16746000000,1026000000,17335000000,20203000000,2868000000,16487000000,1310000000,2470000000,492000000,21734000000,None,-299000000,None,299000000,20502000000,-583000000,852000000,253000000,539000000,758000000,None,-330000000,-354000000,1310000000,1563000000,Common Stock,Baker Hughes Company Class A Common Stock,"Baker Hughes Company is an American international industrial service company and one of the world's largest oil field services companies. The company provides the oil and gas industry with products and services for oil drilling, formation evaluation, completion, production and reservoir consulting. Baker Hughes is headquartered in Houston.",1701605,NASDAQ,USD,USA,TECHNOLOGY,OIL & GAS FIELD MACHINERY & EQUIPMENT,"17021 ALDINE WESTFIELD ROAD, HOUSTON, TX, US",December,31/12/21,30310365000,2707000000,None,0.397,16.31,0.72,0.0248,-0.27,24.88,-0.0107,0.0781,0.0273,-0.0189,20502000000,4049000000,-0.27,-0.651,-0.002,32.41,-,23.81,1.478,1.871,1.494,16.72,1.484,30.11,18.2,26.48,24.41,953341000,18/2/22,4/2/22
BLL,31/12/21,USD,1760000000,87000000,None,1470000000,1351000000,700000000,1726000000,863000000,464000000,878000000,-1639000000,-894000000,-2000000,766000000,766000000,None,229000000,229000000,None,None,850000000,None,-766000000,None,-802000000,-29000000,878000000,19714000000,5223000000,563000000,563000000,1795000000,2560000000,9191000000,6502000000,None,6066000000,1688000000,4378000000,233000000,None,None,305000000,1923000000,16029000000,5953000000,4759000000,310000000,15000000,12000000,10898000000,12000000,8001000000,1000000,8000000000,15391000000,830000000,484000000,3627000000,3854000000,6843000000,1220000000,322665000,1765000000,13623000000,11858000000,11085000000,1291000000,593000000,56000000,829000000,None,-270000000,-270000000,270000000,13890000000,26000000,520000000,180000000,1034000000,156000000,283000000,878000000,1250000000,1291000000,1484000000,Common Stock,Ball Corporation,"Ball Corporation is an American company headquartered in Westminster, Colorado. It is best known for its early production of glass jars, lids, and related products used for home canning.",9389,NYSE,USD,USA,MANUFACTURING,METAL CANS,"10 LONGS PEAK DRIVE, BROOMFIELD, CO, US",December,31/12/21,29214343000,2133000000,34.29,2.145,11.36,0.7,0.0091,2.65,42.37,0.0636,0.104,0.0472,0.25,13811000000,2726000000,2.65,0.327,0.184,102.88,34.29,22.37,2.115,8.03,2.659,18.57,0.465,97.99,77.62,91.67,89.43,321496000,15/3/22,28/2/22
BAC,31/12/21,USD,-7193000000,6470000000,None,None,78090000000,1898000000,None,None,None,31978000000,-3.13291E+11,2.9165E+11,26438000000,25126000000,27097000000,1971000000,8055000000,8055000000,None,None,76675000000,2169000000,-24928000000,None,-28834000000,None,31978000000,3.1695E+12,3.63856E+11,3.48221E+11,3.48221E+11,130000000,None,92288000000,10833000000,None,71222000000,2200000000,69022000000,4.0857E+12,1.22971E+12,2.99178E+11,2.35891E+12,-1.24054E+12,2.89943E+12,23753000000,None,None,23753000000,23753000000,2.87568E+12,None,2.80117E+11,23753000000,29708000000,3.0387E+11,1.0069E+11,1.92336E+11,2.70066E+11,None,1.88064E+11,62398000000,8077831463,33555000000,89113000000,55558000000,None,13694000000,19621000000,None,19861000000,None,42934000000,47672000000,4738000000,46179000000,None,None,76000000,33976000000,1998000000,4738000000,31978000000,28530000000,38714000000,38790000000,Common Stock,Bank of America Corporation,"The Bank of America Corporation is an American multinational investment bank and financial services holding company headquartered in Charlotte, North Carolina. Founded in San Francisco, Bank of America was formed through NationsBank's acquisition of BankAmerica in 1998. It is the second largest banking institution in the United States, after JPMorgan Chase, and the eighth largest bank in the world. Bank of America is one of the Big Four banking institutions of the United States. It services approximately 10 percent of all American bank deposits, in direct competition with JPMorgan Chase, Citigroup and Wells Fargo. Its primary financial services revolve around commercial banking, wealth management, and investment banking.",70858,NYSE,USD,USA,FINANCE,NATIONAL COMMERCIAL BANKS,"BANK OF AMERICA CORPORATE CENTER, 100 N TRYON ST, CHARLOTTE, NC, US",December,31/12/21,3.63302E+11,None,12.61,4.072,30.37,0.78,0.0193,3.57,11.03,0.341,0.363,0.0107,0.118,93707002000,93707000000,3.57,0.347,0.125,51.77,12.61,14.24,3.877,1.513,-,-,1.427,50.11,34.57,46.33,43.48,8069800000,25/3/22,3/3/22
BBWI,30/1/21,USD,2039000000,769000000,None,123000000,-41000000,521000000,228000000,-38000000,-3000000,844000000,-219000000,610000000,0,0,0,None,83000000,83000000,None,None,None,None,None,None,2434000000,4000000,844000000,11571000000,5579000000,3568000000,3903000000,572000000,269000000,6025000000,1017000000,1395000000,1039000000,411000000,628000000,None,None,335000000,52000000,175000000,15586000000,2826000000,345000000,732000000,0,594000000,9427000000,21000000,6366000000,None,6366000000,6366000000,1188000000,290000000,-662000000,358000000,-1421000000,143000000,278000000,4667000000,11356000000,10524000000,7180000000,1580000000,3087000000,None,3305000000,None,-438000000,None,438000000,11794000000,-50000000,521000000,521000000,1092000000,248000000,491000000,844000000,875000000,1530000000,2051000000,Common Stock,Bath Body Works Inc,None,701985,NYSE,USD,USA,TRADE & SERVICES,RETAIL-WOMEN'S CLOTHING STORES,"THREE LIMITED PKWY, P O BOX 16000, COLUMBUS, OH, US",January,31/1/22,13291191000,2211790000,11.15,0.764,None,0.45,0.0151,4.884,28.87,0.169,0.255,0.17,0,7881513000,3855352000,4.884,-0.248,-0.372,80.16,11.15,11.01,1.686,-,2.223,9.67,1.758,82,42.23,60.32,63.16,244099000,4/3/22,17/2/22
BAX,31/12/21,USD,2222000000,556000000,None,212000000,248000000,890000000,743000000,170000000,37000000,1295000000,-11200000000,8245000000,246000000,600000000,600000000,None,530000000,530000000,None,None,11903000000,None,-413000000,None,-733000000,None,1284000000,33521000000,8872000000,2951000000,2951000000,2453000000,2828000000,25593000000,5178000000,6550000000,17628000000,7792000000,9836000000,154000000,154000000,None,390000000,1213000000,24400000000,4236000000,1246000000,492000000,511000000,301000000,22553000000,68000000,17754000000,208000000,None,18055000000,2479000000,2493000000,9077000000,11488000000,17065000000,683000000,499000000,5105000000,12731000000,11536000000,7679000000,1710000000,2867000000,534000000,4362000000,14000000,-192000000,14000000,206000000,12760000000,-41000000,592000000,897000000,1466000000,182000000,211000000,1295000000,1218000000,1672000000,2569000000,Common Stock,Baxter International Inc,"Baxter International Inc. is an American multinational health care company with headquarters in Deerfield, Illinois. The company primarily focuses on products to treat hemophilia, kidney disease, immune disorders and other chronic and acute medical conditions. ",10456,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"ONE BAXTER PKWY, DF2-1W, DEERFIELD, IL, US",December,31/12/21,43327881000,2981000000,34.09,1.537,18.1,1.085,0.013,2.53,25.47,0.1,0.164,0.0488,0.145,12784000000,5250000000,2.53,0.456,0.105,96.75,34.09,20.49,3.389,4.702,3.474,26.61,0.627,89.41,72.35,85.66,81.32,502294000,1/4/22,24/2/22
BDX,30/9/21,USD,4647000000,459000000,None,687000000,290000000,2273000000,1231000000,-95000000,104000000,2092000000,-1880000000,-3306000000,0,1750000000,1750000000,None,1048000000,1048000000,None,None,0,None,-1750000000,None,-539000000,None,2092000000,53866000000,8838000000,2283000000,2295000000,2866000000,2497000000,46023000000,6393000000,6549000000,37232000000,13331000000,23901000000,12000000,None,12000000,1072000000,1952000000,30189000000,6626000000,1793000000,None,500000000,0,23907000000,None,7958000000,500000000,17110000000,7958000000,4333000000,5225000000,23677000000,7723000000,13826000000,365000000,285949000,3157000000,20248000000,17091000000,10821000000,2799000000,4867000000,1339000000,7609000000,9000000,-469000000,-460000000,469000000,-13000000,-97000000,731000000,1403000000,2242000000,150000000,469000000,2092000000,2552000000,2711000000,4114000000,Common Stock,Becton Dickinson and Company,"Becton, Dickinson and Company, also known as BD, is an American multinational medical technology company that manufactures and sells medical devices, instrument systems, and reagents. BD also provides consulting and analytics services in certain geographies.",10795,NYSE,USD,USA,LIFE SCIENCES,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"ONE BECTON DR, FRANKLIN LAKES, NJ, US",September,31/12/21,77662749000,5267000000,47.36,1.923,84.83,3.36,0.0131,5.76,69.24,0.0886,0.15,0.0346,0.0723,19928001000,9576000000,5.76,-0.319,-0.06,284.75,47.36,20.96,3.897,3.112,4.552,20.01,0.695,280.62,233.63,259.66,249.91,284771000,31/3/22,9/3/22
BBY,30/1/21,USD,4927000000,846000000,None,2347000000,413000000,839000000,713000000,-73000000,435000000,1798000000,-788000000,-876000000,None,312000000,312000000,None,568000000,None,None,28000000,1892000000,None,-284000000,None,3263000000,None,1798000000,19067000000,12540000000,5494000000,5494000000,5612000000,1061000000,7110000000,2260000000,6996000000,1532000000,546000000,986000000,None,None,None,373000000,669000000,14480000000,10521000000,6979000000,7000000,138000000,110000000,4060000000,24000000,1267000000,14000000,1253000000,1377000000,None,694000000,4587000000,None,4233000000,26000000,257000000,10573000000,47262000000,36689000000,36689000000,2391000000,7928000000,None,8275000000,37000000,-52000000,None,52000000,47262000000,None,759000000,93000000,2377000000,579000000,52000000,1798000000,1831000000,2429000000,2522000000,Common Stock,Best Buy Co. Inc,"Best Buy Co., Inc. is an American multinational consumer electronics retailer headquartered in Richfield, Minnesota.",764478,NYSE,USD,USA,TRADE & SERVICES,"RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES","7601 PENN AVE SOUTH, RICHFIELD, MN, US",February,30/11/21,23052960000,4213000000,9.27,1.474,17.55,2.8,0.0306,10.34,207.22,0.0505,0.0642,0.102,0.632,52332999000,10596000000,10.34,0.351,0.005,124.1,9.27,10.74,0.441,5.49,0.459,5.79,1.528,141.01,85.58,99.3,110.78,240561000,4/1/22,13/12/21
BIO,31/12/21,USD,656500000,2196282000,2921771000,10900000,-1090600000,133800000,120803000,20400000,-46100000,4245949000,-784438000,-55429000,None,49998000,49998000,None,35282000,35282000,None,-1850000,None,None,-31216000,0,-196003000,-12636000,4245900000,17775800000,1989088000,470783000,869918000,572239000,425737000,15787043000,490952000,997616000,601282000,253939000,347343000,840200000,14387006000,399135000,10089000,102669000,4108661000,680938000,141941000,71000000,1489000,1739000,3501485000,10500000,11989000,989000,None,11989000,127936000,182191000,13667134000,-106290000,13507241000,3000,29924000,1640661000,5851741000,2265558000,1281884000,489430000,879574000,271657000,1255331000,18900000,-1551000,4921944000,1551000,5842292000,26775000,None,28900000,5438100000,1192200000,1551000,4245949000,3787893000,5439651000,5468551000,Common Stock,Bio-Rad Laboratories Inc,"Bio-Rad Laboratories, Inc. is an American developer and manufacturer of specialized technological products for the life science research and clinical diagnostics markets.",12208,NYSE,USD,USA,LIFE SCIENCES,LABORATORY ANALYTICAL INSTRUMENTS,"1000 ALFRED NOBEL DRIVE, HERCULES, CA, US",December,31/12/21,19166491000,687930000,4.562,2.756,456.6,0,0,140.56,97.97,1.453,0.19,0.0225,0.361,2922545000,1665661000,140.56,1.978,-0.072,827.5,4.562,38.31,6.56,1.278,5.85,3.069,0.954,832.7,547.22,653.49,699.87,24860700,None,None
TECH,30/6/21,USD,352164000,55168000,None,32517000,8241000,87747000,44301000,-15549000,7140000,139585000,-243516000,-62551000,-271500000,43178000,43178000,None,49622000,49622000,None,None,256000000,None,21914000,None,46097000,None,140410000,2262957000,510606000,199091000,199091000,116748000,145385000,909284000,207907000,189849000,615968000,615968000,843067000,12500000,None,32463000,16919000,11575000,699986000,152284000,29384000,38995000,12500000,24102000,539439000,79227000,328827000,12500000,None,420554000,3891000,24462000,1562971000,None,1085461000,390000,38955484,632850000,917080000,688073000,298182000,237296000,324951000,70603000,395554000,473000,-13952000,473000,13952000,931032000,-75642000,None,64940000,149000000,8590000,13952000,139585000,180318000,162952000,227892000,Common Stock,Bio-Techne Corporation,"Bio-Techne Corporation develops, manufactures, and sells life science reagents, instruments, and services for the global clinical diagnostic and research markets. The company is headquartered in Minneapolis, Minnesota.",842023,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","614 MCKINLEY PL N E, MINNEAPOLIS, MN, US",June,31/12/21,16606771000,332496000,82.19,1.547,43.31,1.28,0.0031,5.14,26.37,0.204,0.266,0.0782,0.124,1029575000,634415000,5.14,0.687,0.201,529.9,82.19,51.28,16.13,9.25,15.37,50.42,1.27,543.09,337.81,426.44,461.94,39288300,25/2/22,10/2/22
BIIB,31/12/21,USD,3639900000,459300000,None,-9100000,-689200000,487700000,276900000,-324800000,462400000,1727600000,-563700000,-2086200000,None,1800000000,1800000000,None,None,None,None,None,0,None,-1800000000,None,990000000,None,1556100000,23877300000,7856500000,1632200000,4221800000,1351500000,1549400000,16020800000,3416400000,2006600000,7982400000,2221300000,5761100000,2433100000,892000000,2589600000,740800000,1939500000,12917600000,4298200000,589200000,None,999100000,999100000,10577200000,330400000,6274000000,999100000,7567300000,6274000000,2535200000,1320500000,10896200000,2977100000,13911700000,100000,147000000,5316400000,10981700000,5665300000,2109700000,2840700000,2674300000,2519200000,6074800000,11000000,-253600000,11000000,253600000,-12100000,-5600000,235300000,252000000,1608600000,52500000,253600000,1727600000,1748400000,1862200000,2114200000,Common Stock,Biogen Inc,"Biogen Inc. is an American multinational biotechnology company based in Cambridge, Massachusetts, specializing in the discovery, development, and delivery of therapies for the treatment of neurological diseases to patients worldwide.",875045,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","225 BINNEY STREET, CAMBRIDGE, MA, US",December,31/12/21,30477189000,3923400000,19.94,6.24,74.12,0,0,10.4,73.65,0.142,0.313,0.0885,0.16,10981700000,8872000000,10.4,0.075,-0.042,257.48,19.94,13.57,2.775,2.829,3.154,12.02,0.437,468.55,200.36,228,286.37,146963000,None,None
BLK,31/12/20,USD,4944000000,264000000,None,417000000,171000000,147000000,341000000,322000000,None,6205000000,-1937000000,-2287000000,None,1485000000,1485000000,None,2547000000,2547000000,None,None,0,None,-1485000000,None,720000000,None,4932000000,1.76982E+11,12945000000,8664000000,12945000000,None,None,34144000000,681000000,1098000000,32814000000,18263000000,14551000000,6919000000,6919000000,4281000000,16692000000,1.24369E+11,1.39326E+11,1028000000,None,None,None,100000000,1.4062E+11,None,7300000000,None,7900000000,7264000000,-3673000000,1.24862E+11,35283000000,8009000000,24334000000,2000000,152532885,33870000000,41608000000,7738000000,7939000000,5695000000,2465000000,None,10510000000,62000000,-205000000,62000000,205000000,16205000000,1034000000,None,232000000,6170000000,1238000000,205000000,5286000000,5166000000,6375000000,6607000000,Common Stock,BlackRock Inc,"BlackRock, Inc. is an American multinational investment management corporation based in New York City.",1364742,NYSE,USD,USA,FINANCE,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","55 EAST 52ND STREET, NEW YORK, NY, US",December,31/12/21,1.13895E+11,7890666000,19.65,1.782,242.24,16.52,0.0267,38.22,127.26,0.305,0.386,0.0273,0.163,19374000000,9818000000,38.22,0.061,0.14,1000.45,19.65,17.89,5.88,3.115,5.97,13.58,1.215,968.69,661.21,842.62,881.81,151684000,23/3/22,4/3/22
BK,31/12/20,USD,2838000000,972000000,42000000,-777000000,1898000000,85000000,1215000000,None,None,3771000000,19672000000,-21962000000,418000000,4567000000,5567000000,1000000000,1323000000,1126000000,197000000,13000000,5186000000,1287000000,-4217000000,None,548000000,None,3617000000,4.69633E+11,6284000000,6252000000,6252000000,1000000,None,24652000000,3602000000,None,20508000000,3012000000,17496000000,2.33696E+11,1.72705E+11,1.06116E+11,-2.5669E+11,-1.7747E+11,4.23513E+11,11305000000,None,167000000,10270000000,10270000000,514000000,None,25984000000,350000000,400000000,36254000000,3.41545E+11,18819000000,45801000000,19833000000,34241000000,14000000,886763531,4468000000,15808000000,11340000000,None,904000000,3459000000,None,3564000000,84000000,2977000000,4109000000,1132000000,12747000000,84000000,None,105000000,4459000000,842000000,1132000000,-10858000000,5275000000,5591000000,5696000000,Common Stock,The Bank of New York Mellon Corporation,"The Bank of New York Mellon Corporation, commonly known as BNY Mellon, is a multinational American investment banking services holding company headquartered in New York City.",1390777,NYSE,USD,USA,FINANCE,STATE COMMERCIAL BANKS,"240 GREENWICH STREET, NEW YORK, NY, US",December,31/12/21,43721363000,None,13.13,1.244,47.5,1.3,0.0259,4.14,18.97,0.233,0.293,0.0083,0.0843,16162000000,16162000000,4.14,0.282,0.053,68.63,13.13,11.82,2.705,1.161,-,-,1.108,64.63,41.89,59.69,55.12,804145000,11/2/22,28/1/22
BA,31/12/21,USD,-3416000000,301000000,1700000000,-6143000000,2081000000,2144000000,980000000,713000000,1127000000,-4290000000,9324000000,-5600000000,None,None,None,None,None,None,None,None,None,None,42000000,None,308000000,None,-4202000000,1.38552E+11,1.08666E+11,8052000000,16200000000,10717000000,2641000000,28191000000,10918000000,20538000000,10630000000,2562000000,8068000000,9167000000,975000000,8192000000,2221000000,5591000000,1.53398E+11,81992000000,9261000000,52980000000,1296000000,61000000,71406000000,448000000,57921000000,1235000000,None,57982000000,18187000000,1750000000,-14999000000,51861000000,34408000000,5061000000,1012261159,3017000000,62286000000,59269000000,59269000000,-2902000000,4157000000,2249000000,6535000000,None,-2790000000,-2682000000,2790000000,277000000,551000000,None,284000000,-4945000000,-743000000,2682000000,-4290000000,1272000000,-2902000000,-1871000000,Common Stock,The Boeing Company,"The Boeing Company is an American multinational corporation that designs, manufactures, and sells airplanes, rotorcraft, rockets, satellites, telecommunications equipment, and missiles worldwide. The company also provides leasing and product support services.",12927,NYSE,USD,USA,MANUFACTURING,AIRCRAFT,"P O BOX 3707 MS 1F 31, SEATTLE, WA, US",December,31/12/21,1.17463E+11,1639000000,None,6.53,-9.46,0,0,-7.15,105.93,-0.0675,-0.0081,-0.0022,0,62286000000,5372000000,-7.15,-0.496,-0.033,257.65,-,55.25,1.886,-,2.633,129.41,1.469,278.57,183.77,206.96,220.03,583000000,6/3/20,13/2/20
BKNG,31/12/21,USD,2820000000,542000000,None,1539000000,996000000,421000000,304000000,1002000000,None,1165000000,-998000000,-1239000000,0,163000000,163000000,None,None,None,None,None,2015000000,None,-163000000,None,583000000,None,1165000000,23641000000,13145000000,11127000000,11152000000,None,1309000000,10496000000,822000000,1305000000,4944000000,2057000000,2887000000,25000000,3175000000,25000000,231000000,1059000000,17463000000,6246000000,1586000000,None,1989000000,25000000,11217000000,None,8937000000,1989000000,8937000000,3551000000,4635000000,199000000,6178000000,24290000000,24453000000,0,41072000,3789000000,10958000000,7169000000,None,2496000000,4421000000,None,8462000000,16000000,-334000000,None,334000000,-131000000,-697000000,259000000,421000000,1465000000,300000000,576000000,1165000000,1139000000,2496000000,2220000000,Common Stock,Booking Holdings Inc,"Booking Holdings Inc. is an American travel technology company organized in Delaware and based in Norwalk, Connecticut, that owns and operates several travel fare aggregators and travel fare metasearch engines including namesake and flagship Booking.com, Priceline.com, Agoda.com, Kayak.com, Cheapflights, Rentalcars.com, Momondo, and OpenTable.",1075531,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,TRANSPORTATION SERVICES,"800 CONNECTICUT AVE, NORWALK, CT, US",December,31/12/21,93283647000,3066000000,80.99,0.228,150.44,0,0,28.17,267,0.106,0.241,0.0726,0.21,10958000000,8780000000,28.17,-0.046,1.408,2697.22,80.99,24.51,8.51,15.19,8.57,39.18,1.193,2715.66,2053.57,2424.46,2331.51,40887700,None,None
BWA,31/12/21,USD,1306000000,373000000,None,-134000000,496000000,772000000,666000000,59000000,268000000,639000000,-1395000000,286000000,None,0,0,None,234000000,162000000,None,None,1286000000,None,-33000000,None,194000000,-3000000,537000000,16575000000,6597000000,1841000000,1841000000,1534000000,2898000000,6033000000,4395000000,None,4370000000,1091000000,3279000000,428000000,428000000,None,96000000,683000000,9313000000,3798000000,None,89000000,66000000,66000000,6481000000,11000000,4227000000,4000000,4261000000,4227000000,1456000000,964000000,6948000000,1812000000,6671000000,3000000,238400000,2855000000,14838000000,11983000000,11983000000,1151000000,1460000000,707000000,2464000000,12000000,-93000000,24000000,117000000,14789000000,-314000000,684000000,88000000,687000000,150000000,93000000,639000000,637000000,1151000000,892000000,Common Stock,BorgWarner Inc,"BorgWarner Inc. is an American multinational automotive supplier headquartered in Auburn Hills, Michigan.",908255,NYSE,USD,USA,MANUFACTURING,MOTOR VEHICLE PARTS & ACCESSORIES,"3850 HAMLIN RD., AUBURN HILLS, MI, US",December,31/12/21,10114778000,2221000000,18.82,0.491,28.98,0.68,0.0165,2.24,62.32,0.0362,0.0977,0.0555,0.0914,14838000000,2855000000,2.24,-0.646,-0.069,53.17,18.82,9.98,0.682,1.504,0.885,7.88,1.431,55.12,40.13,44.92,46.32,239971000,15/3/22,28/2/22
